Ticker,Name,Exchange
UGXBMD=X,UGX/BMD,CCY
MURAUD=X,MUR/AUD,CCY
ZARCHF=X,ZAR/CHF,CCY
BWPTND=X,BWP/TND,CCY
TRYLVL=X,TRY/LVL,CCY
UGXWST=X,UGX/WST,CCY
CZKMUR=X,CZK/MUR,CCY
HF33.EX,HURRICANE FUTURES,EUX
NGNZAR=X,NGN/ZAR,CCY
BWPNZD=X,BWP/NZD,CCY
GHSJPY=X,GHS/JPY,CCY
NOKCZK=X,NOK/CZK,CCY
QARLTL=X,QAR/LTL,CCY
DKKLKR=X,DKK/LKR,CCY
BWPZMW=X,BWP/ZMW,CCY
ARSGBP=X,ARS/GBP,CCY
ILSTRY=X,ILS/TRY,CCY
PLNMXN=X,PLN/MXN,CCY
SEKCZK=X,SEK/CZK,CCY
INRSAR=X,INR/SAR,CCY
CADMDL=X,CAD/MDL,CCY
AUDXDR=X,AUD/XDR,CCY
NOKEGP=X,NOK/EGP,CCY
29134349=X,,
CADTND=X,CAD/TND,CCY
NOKMXN=X,NOK/MXN,CCY
PLNLVL=X,PLN/LVL,CCY
THBVEF=X,THB/VEF,CCY
SYP=X,USD/SYP,CCY
LKRTHB=X,LKR/THB,CCY
JPYAZN=X,JPY/AZN,CCY
MYRCLP=X,MYR/CLP,CCY
PLNIDR=X,PLN/IDR,CCY
SYPUSD=X,SYP/USD,CCY
CADGHS=X,CAD/GHS,CCY
MURQAR=X,MUR/QAR,CCY
CHFNZD=X,CHF/NZD,CCY
PKRJPY=X,PKR/JPY,CCY
EGPCHF=X,EGP/CHF,CCY
PLNOMR=X,PLN/OMR,CCY
AUDCNY=X,AUD/CNY,CCY
EURANG=X,EUR/ANG,CCY
XF000EURSGD5.SG,EUR/SGD FIXING,STU
UGXCOP=X,UGX/COP,CCY
SARHUF=X,SAR/HUF,CCY
CNYTND=X,CNY/TND,CCY
22372096.SW,VIANDANTE GOLD ,EBS
CHFRUB=X,CHF/RUB,CCY
GMDEUR=X,GMD/EUR,CCY
BRLCAD=X,BRL/CAD,CCY
LVLKES=X,LVL/KES,CCY
PLNZWL=X,PLN/ZWL,CCY
NZDCNY=X,NZD/CNY,CCY
SARUSD=X,SAR/USD,CCY
FRFCHF=X,FRF/CHF,CCY
NZDUSD=X,NZD/USD,CCY
HKDKWD=X,HKD/KWD,CCY
MOPCHF=X,MOP/CHF,CCY
29134373=X,,
RONSEK=X,RON/SEK,CCY
AEDCAD=X,AED/CAD,CCY
THBLTL=X,THB/LTL,CCY
BAMCHF=X,BAM/CHF,CCY
OMRHUF=X,OMR/HUF,CCY
GBPBDT=X,GBP/BDT,CCY
SZLUSD=X,SZL/USD,CCY
SLL=X,USD/SLL,CCY
HKDPEN=X,HKD/PEN,CCY
PHPTRY=X,PHP/TRY,CCY
KYDGBP=X,KYD/GBP,CCY
