Ticker,Name,Exchange
^BCOMSICT,BBG SIL Capped TR,WCB
^DRRIV,Morgan Stanley Double Short Eur,SNP
^NQLA2300LMAUD,NASDAQ Lat Am Constr & Matls Lg,NIM
^NQDM6000LMJPYN,NASDAQ Developed Telecom Lg Md ,NIM
^SP600-10101010,S&P 600 Oil & Gas Drilling (Sub,SNP
^KS200,KOSPI 200 Index,KSC
^SPWCGCP,S&P WCI Gold ER,SNP
^TSTOMRXTBILL30,OMRX Treasury Bill 30 day Index,NIM
31551957.SG,MERLYNMLCVDT4A,STU
^NQDMXUSSCGBP,NASDAQ Developed ex US Small Ca,NIM
WIXSAFS5000.FGI,FTSE XSA - CONSSER,FGI
WIXEBS8000.FGI,FTSE XEB-FINANCIALS,FGI
ASX8770.L,FTSE ALL -FIN SERV,FSI
ICNAA.PA,LYXOR CNAA,PAR
^NQG6000CADN,NASDAQ Global Telecom CAD NTR I,NIM
^VXD,DJIA VOLATILITY,WCB
^NQUSS1357EURT,NQ US Sm Cap Specialty Chemical,NIM
^DWMT,Dow Jones U.S. Mid-Cap Total St,DJI
SXEAGU.Z,ESTX AUD GR,ZRH
^NQJP8700LMAUDT,NASDAQ Japan Financial Svcs Lg ,NIM
^NQUSS8672AUDN,NQ US Sm Cap Retail REITs AUD N,NIM
FDAPQVY5.FGI,FTSEDVASPCQ/V/Y5%CF,FGI
^NQTH0001AUDT,NASDAQ Thailand Oil & Gas AUD T,NIM
^NQEMEA1000CAD,NASDAQ EMEA Basic Matls CAD Ind,NIM
AE15S.AS,AEX X15 SHORT GR  ,AMS
^NQNA5300EURT,NASDAQ N America Retail EUR TR ,NIM
C5AX5370.L,FTSE AL-SH CAP 5 GE,FSI
^MSHKUSDP,Morningstar Hong Kong Index PR ,SNP
000915.SS,CSI 300 Information Technology ,SHH
^NQUSB0570JPY,"NQ US Bnchmk Oil Eqpt, Svcs & D",NIM
^XMLEER,UBS Bloomberg CMCI Livestock He,WCB
ILQDH.NX,ISHARES LQDH INAV,ENX
^W9DOW,Dow Jones Global ex-Asia/Pacifi,DJI
^NQUSB0537LMEURT,NQ US  Integrated Oil & Gas Lg ,NIM
^NQASPA6000LMN,NASDAQ ASPA Telecom Large Mid C,NIM
^NQDMEU0001LMJPYN,NASDAQ DM Europe Oil & Gas Lg M,NIM
^NQMY4000CADT,NASDAQ Malaysia Health Care CAD,NIM
^NQUSB8675JPY,NQ US Bnchmk Specialty REITs JP,NIM
TDXP.DE,,GER
^NQUSB5757GBP,NQ US Bnchmk Restaurants & Bars,NIM
25400015.Z,TIME VEDQCIN CHF,ZRH
^NQDMXKRAUDN,Nasdaq DM Ex Korea AUD NTR,NIM
FMKN.EX,KOKUSAI WORLD EX JP,EUX
^NQIE3000JPY,NASDAQ Ireland Cnsmr Goods JPY ,NIM
399428.SZ,CNI NON-PB OFFER,SHZ
^NQEMEU8600EURN,NASDAQ EM Europe Real Estate EU,NIM
^NQUSB8777LMAUDN,NQ US  Inv Svcs Large Mid Cap A,NIM
^NQUSB8773LMCAD,NQ US  Cnsmr Finance Large Mid ,NIM
^NQUSM8570JPY,NQ US Md Cap Life Ins JPY Index,NIM
V2H5.DE,VSTOXX AUG 05,GER
^NQUSM9000AUD,NQ US Md Cap Tech AUD Index,NIM
OSE2510GI.OL,OSE2510 AUTO COMP,OSL
^CX1000GI,CX1000GI/OMXC INDEX,CPH
^NQUSB9570LMCADT,NQ US  Tech Hardware & Eqpt Lg ,NIM
^NQDMASIAGBP,NASDAQ DM Asia GBP Index,NIM
^XMPGTR,UBS Bloomberg CMCI Prec Metals ,WCB
^NQUSS4000JPY,NQ US Sm Cap Health Care JPY In,NIM
