Ticker,Name,Exchange
GB00B3BLRG75.L,Halifax Far East Scottish Widows 1,LSE
TW000T2111B8.TW,PineBridge Glbl Multi-Strat HY Bd B TWD,TAI
RWICX,American Funds Capital World Gr&Inc R3,NAS
LROSX,Legg Mason BW Absolute Return Opps IS,NAS
K55214B72680.KS,Eugene NG SPAC Plus IPO HNW PF Eq Bal 1,KSC
DLSNX,DoubleLine Low Duration Bond N,NAS
SMDVX,Schroder US Small and Mid Cap Opps Adv,NAS
129441.BO,Franklin Ind Feeder Frank Eur Gr Dir Div,BSE
BJWG1Y9.IR,R Blackrock Select C USD Hdg,ISE
WWWFX,Kinetics Internet No Load,NAS
2869574.SW,EUROEXSWEQTR ZDYEUR,EBS
TGTRX,Templeton Global Total Return A,NAS
HOLBX,Holland Balanced,NAS
MMWZX,MassMutual RetireSMART 2055 I,NAS
MUYSX,BMO Ultra Short Tax-Free Y,NAS
LGBNX,Loomis Sayles Investment Grade Bond N,NAS
F0000023YN.TO,Quadrus Moderate Folio Series D5,TOR
HJVJ.MU,FONDAK P,MUN
IE00BTLWSB42.IR,Neuberger Berman EM Dbt LclCcy C2 AUDInc,ISE
BESTINVERPRE.BC,Bestinver Previsión PP,BAR
ZPJ2.SG,SISF ASIA BD AR BC,STU
GABUX,Gabelli Utilities AAA,NAS
120457.BO,JM Money Mgr Reg Dir Fr Div,BSE
GB00BWVG2L56.L,Threadneedle Pan Eurp Eq Div Z,LSE
VKQMLX,Quality Municipals Income Trust,NAS
SFHIX,Shenkman Floating Rate High Income Instl,NAS
PAEAX,Putnam Dynamic Asset Allocation Gr A,NAS
GB00B8Y8GR43.L,Kennox Strategic Value Institutional Acc,LSE
JEEIX,JHancock Enduring Assets I,NAS
MBGCX,BlackRock Global SmallCap Inv B,NAS
PBF5.BE,PICTET-AEXJP-P USD,BER
MSIGX,Oppenheimer Main Street A,NAS
MANUVIESIPTQ.TO,Manulife SI Id Quot B In 75,TOR
14371.AX,Australian Unity Strategic Fxd Intr Tr W,ASX
OG7M.MU,WACHSGLOB-INV T,MUN
SUNDARAMMIPQ.BO,Sundaram MIP Qt Div,BSE
BGJTF.PK,Baillie Gifford Japan Ord,LSE
VFSTX,Vanguard Short-Term Investment-Grade Inv,NAS
IE00B88BXR86.IR,Rogge Selective Glbl Hi Yld Bd R EUR,ISE
MWIIX,Metropolitan West Intermediate Bond I,NAS
IE00B984MH70.IR,Neuberger Berman EmMkts Corp Dbt $ A Acc,ISE
JORCX,Janus Global Select C,NAS
IE00B01VBC06.IR,GlobalAccess UK Opportunities M £ Inc,ISE
CPXZX,Cohen & Steers Preferred Sec & Inc Z,NAS
3913443.SW,NEUFLIZE OPTIMUM-I-,EBS
F00000H0IB.TO,IA xtra GS SRI Balanced (Inhance),TOR
U1IX.DU,UNIDEUTSCHLAND XS T,DUS
WWWEX,Kinetics Global No Load,NAS
GB00BLRZQB71.L,CF Woodford Equity Income Z GBP Inc,LSE
UAEMX,USAA Emerging Markets Adviser,NAS
FPNTX,Nuveen PA Municipal Bond A,NAS
JR64.HM,JPMF BR EQ AC,HAM
FVOYWX,First Trust 4399 Energy Select ,NAS
CIG5202039T2.TO,CI G5 20 2039 Q2 Class A,TOR
X0C1.DE,Commerzbank ETC 1x Brent Oil Daily Long,BER
FHMBKX,First Trust 3861 Municipal Inco,NAS
AWABX,AB Wealth Appreciation Strategy B,NAS
IE00BF233X57.IR,Oasis Crescent Global ST Inc F GBP Inc,ISE
NEHYX,Loomis Sayles High Income Y,NAS
BJBGX,Aberdeen Total Return Bond A,NAS
IE00B4JSJH29.IR,Veritas China Ret EUR,ISE
OFDD.BE,OYST EU COP BD C,BER
XPA.MU,PION EM EU M EQ AC,MUN
