Ticker,Name,Exchange,categoryName,categoryNr
MPOY,"Midstates Petroleum Company, Inc.",,,0
HAFC,Hanmi Financial Corporation,NMS,Regional - Pacific Banks,416
BRGYY,BG Group plc,PNK,,0
FNTS.PA,Finatis SA,PAR,Food Wholesale,757
MBI.F,MITSUBISHI CORP,FRA,Conglomerates,210
WILLF,William Demant Holding A/S,PNK,,0
ALL-H.V,Bluenose Gold Corp.,VAN,Gold,134
ARTX,Arotech Corporation,NGM,Industrial Electrical Equipment,627
ZLIOF,"Zoomlion Heavy Industry Science and Technology Co., Ltd.",PNK,,0
BCX,Blackrock Resources & Commodities Strategy Trust,NYQ,,0
NVP2.MU,G J STEEL NVDR,MUN,,0
FFH.TO,FAIRFAX FINANCIAL HOLDINGS LTD.,TOR,,0
KMTG,KMT Global Holdings Inc.,PNK,,0
UTC1.HM,UTD TECHNOLOGIES,HAM,,0
GED.L,Global Energy Development plc,LSE,Independent Oil & Gas,121
GES.CO,Greentech Energy Systems A/S,CPH,Diversified Utilities,913
ZAGG,ZAGG Inc,NMS,"Specialty Retail, Other",745
KUIRF,Kuoni Reisen Holding AG,PNK,,0
PZRA.BE,HOME RTL GR SP ADR,BER,,0
ESCC,Evans & Sutherland Computer Corp.,PNK,,0
FFNW,"First Financial Northwest, Inc.",NMS,Regional - Pacific Banks,416
RPS.L,RPS Group plc,LSE,Business Services,760
YEWB,"Yew Bio-Pharm Group, Inc.",OBB,Farm Products,341
VILR.TA,Villar International Ltd.,TLV,,0
HCG.BE,HONG KONG&CHINA GAS,BER,Gas Utilities,912
YP1.HM,PRIMA BIOMED,HAM,,0
VICP-A.ST,VICTORIA PARK -A-,STO,,0
MSH.F,WASGAU N,FRA,Food Wholesale,757
FR7H.SG,Fast Retailing Co. Ltd.,STU,,0
RM.L,RM Plc,LSE,Business Software & Services,826
MHR.F,HERMAN MILLER,FRA,Business Equipment,313
BD45.L,LEWIS PARTNER 5CP,LSE,,0
SDRL,SeaDrill Limited,NYQ,Oil & Gas Drilling & Exploration,123
PTR.V,Petromin Resources Ltd.,VAN,Independent Oil & Gas,121
TCS,"The Container Store Group, Inc.",NYQ,"Specialty Retail, Other",745
WAGEND.BO,WAGEND INFRA VENTURE LIMITED,BSE,,0
000815.KS,"Samsung Fire & Marine Insurance Co., Ltd.",KSC,,0
IMMY,"Imprimis Pharmaceuticals, Inc.",NCM,Biotechnology,515
ZPRBHSTE.BO,PRABHU STEEL INDUSTRIES LTD.,BSE,,0
017940.KS,E1 Corporation,KSC,,0
ZIM.F,ZIMMER BIOMET HLDGS,FRA,Medical Appliances & Equipment,521
KW2.F,K. WAH INTL HLDGS,FRA,Real Estate Development,449
CHFY,China Forestry Inc.,PNK,,0
58JA.F,JP PRIME RLTY INV,FRA,,0
SMV-H.V,SMC Ventures Inc.,VAN,,0
LQZ.BE,THAI OIL -F-,BER,Oil & Gas Refining & Marketing,122
GE,General Electric Company,NYQ,Diversified Machinery,622
YUVINTL.BO,YUVRAJ INTERNATIONAL LTD.,BSE,,0
BNJ,BlackRock New Jersey Municipal Income Trust,NYQ,,0
TYI.BE,TYCO INTERNAT,BER,,0
XT1.BE,CTS,BER,,0
ZQKSQ,Quiksilver Inc.,PNK,,0
SCHO.L,Scholium Group Plc,LSE,"Specialty Retail, Other",745
ZOO6.BE,ZOO BERLIN N O AQ,BER,,0
ZVA.SG,CELLECTIS,STU,Biotechnology,515
NZM2.BE,NOVOZYMES -B-,BER,,0
ZMG.AX,Zingmobile Group Limited,ASX,,0
VTRB,"Ventas Realty, Limited Partnership",NYQ,,0
ZVA.F,CELLECTIS,FRA,Biotechnology,515
VSCJ.F,,,,0
8103.HK,TAI SHING,HKG,Information Technology Services,824
RCH.TO,Richelieu Hardware Ltd.,TOR,Home Furnishings & Fixtures,311
YDO.BE,SYNTA PHARMACEUTIC,BER,Biotechnology,515
QIN.BE,QINGLING MOTORS -H-,BER,Trucks & Other Vehicles,331
PJIHF,PT Jakarta International Hotels & Development Tbk,PNK,,0
0KC3.L,Sponda Oyj,LSE,,0
ASBN,ASB Financial Corp.,PNK,,0
XBX.BE,CAMBREX CORP,BER,Biotechnology,515
AY3.BE,ATLANTICA YIELD,BER,,0
ZVW.BE,GEM DIAMONDS,BER,Industrial Metals & Minerals,133
NICE,NICE Ltd.,NMS,,0
SIO.V,"SENSIO Technologies, Inc.",VAN,Computer Based Systems,812
GCRIF,Rogue Resources Inc.,PNK,,0
8173.HK,UNION ASIA ENT,HKG,Entertainment - Diversified,722
RTV.DU,YOUR FAMILY ENT N,DUS,,0
SKYD.SG,,,,0
4XN.SG,XUNLEI SP ADS-A,STU,,0
DTEGY,Deutsche Telekom AG,PNK,,0
0ELC.L,XPO Logistics Europe SA,LSE,,0
