Ticker,Name,Exchange
P650B.PA,,PAR
038309.TW,,
719015.TWO,,TWO
6343H.AS,CAC40 2919TRLOPENH,AMS
ADVA13P1606A.BK,,
HLB2FF.F,HELABA 31 VAR,FRA
YKIFJ.IS,,
040805.TW,,
Z880B.PA,ESILO/BNP WT 16,PAR
H450B.PA,,PAR
043577.TW,,TAI
Q488C.AS,,AMS
03143P.TW,,TAI
08335P.TW,,
UI048N.MI,"UCSFL0,1SLP6A151216",MIL
T022B.PA,,PAR
61BFZ.BR,,
18101-OL.HK,EA-CMB @EC1605A,HKG
64766.HK,HS_PINANRC1610F,HKG
58AG38.KS,,KSC
SAM6M--44NDS.HE,,
A12Z31.F,ETFS5XLUSDS/ETFS,FRA
043664.TW,,TAI
Q489S.PA,,PAR
I01144.TI,SX5E/BANCA 18 VRN,TLO
31082980.VI,SX5E/RCB 17 ZT,VIE
62MEZ.BR,,BRU
CX80B.AS,,
CG57B.AS,PHILP28.11BS OPENB,AMS
28883282.VI,,
21873.HK,SGPETCH@EC1809A,HKG
W588B.PA,,PAR
2019C.PA,,PAR
J749Z.PA,,
6656C.PA,ALIBAB/CITI WT OPEN,PAR
042615.TW,,TAI
58AG51.KS,,KSC
05822P.TW,,
033393.TW,,
G832Z.BR,,
Q304S.NX,,
2918C.PA,,
2150T.PA,EADS/UCB WT OPEN,PAR
03179B.TW,,
H034S.PA,,PAR
F723S.PA,,PAR
31760029.PA,,PAR
X800B.PA,,
QBESRX-A,QBE INSUR. RBSAU21IW,ASX
Q928C.AS,,AMS
G166Z.PA,,PAR
X675B.PA,,
1743C.PA,VINCI/CITI WT OPEN,PAR
3897N.AS,DAX/RBS WT OPEN,AMS
G939S.PA,,PAR
6456T.PA,,PAR
GR96G.AS,BRN6Q/ING WT OPEN,AMS
GBEU.MI,ETFS SHORT GBP LONG EUR,MIL
I00751.TI,,
H146S.PA,CAC40/SG WT 16,PAR
V056Z.LS,,
4609T.PA,,PAR
J898Z.PA,,PAR
31225850.VI,KTCG/RCB 17 ZT,VIE
28633026.VI,FACC/RCB 17 ZT,VIE
X42205.TI,FP/SECURASSET 17,TLO
R135C.AS,RDSA/CITI WT OPEN,AMS
D053C.LS,,
ZCLKOJ-A,CL OIL FUT MINI L,ASX
9875T.PA,,
043918.TW,,TAI
7737H.AS,,AMS
041258.TW,,
W921B.PA,,PAR
Z730Z.LS,,LIS
17560-OL.HK,UBHSCEI@EC1511A,HKG
0614S.PA,CAC40/SG P-WT OPEN,PAR
65294.HK,SG_HSI  RP1604E,HKG
65629.HK,SG_HSI  RP1604L,HKG
M564B.PA,,PAR
57AH44.KS,,
J445Z.PA,,
040075.TW,,
718925.TWO,,TWO
Q331S.PA,,PAR
J420Z.BR,,BRU
X606B.PA,,
THIEO.IS,,
THIFA.IS,,
GH33B.AS,,AMS
61643-OL.HK,CS#HSI  RP1509J,HKG
58B178.KS,,KSC
T232B.PA,,PAR
66238-OL.HK,SC#HSI  RP1511Q,HKG
18949.HK,SCCSA50@EC1510A,HKG
GBSE.MI,ETFS EUR DAILY HEDGED PHYSICAL ,MIL
HI37G.AS,,AMS
042603.TW,,TAI
W644B.PA,,
041538.TW,,TAI
P127B.PA,,
58AG73.KS,,KSC
CPAL01C1510A.BK,,
Z188B.PA,VALOU/BNP WT 16,PAR
Z515B.PA,PEUGO/BNP WT 17,PAR
RRLKOE-A,REGIS MINI L,ASX
043870.TW,,TAI
1751S.PA,FB/SG P-WT 16,PAR
3832H.AS,,
Q493S.PA,,PAR
45MMZ.AS,,AMS
VOL6H-100SHB.ST,VOLVB/SHB WTS 16,STO
K904Z.PA,,
77WUZ.BR,,BRU
G396Z.PA,,PAR
13BVZ.AS,,AMS
V831B.PA,FTCOM/BNP WT OPEN,PAR
S5013C1510A.BK,,
UI972M.MI,,MIL
044855.TW,,TAI
UI326M.MI,,MIL
1687Z.PA,,
A336S.PA,LINKEDIN/SG P-WT 16,PAR
2338T.PA,FTCOM/UCB P-WT OPEN,PAR
4256098.AS,ROBECO/RABOBANK 18,AMS
043046.TW,,TAI
L043Z.BR,,BRU
3929122.VI,BTXEUR/ERSTE GR ZT,VIE
X720B.PA,BERKSHIRE HA/BNP WT,PAR
J652B.PA,,PAR
044602.TW,,TAI
032861.TW,,
07729P.TW,,TAI
05900P.TW,,
1755Z.PA,,PAR
041268.TW,,
6673S.PA,ALT/SG WTS,PAR
60124-OL.HK,UB#HSI  RP1510W,HKG
13756-OL.HK,UBCITIC@EC1512B,HKG
Q443S.PA,,PAR
J850Z.PA,,PAR
58A066.KS,,
Y199N.AS,,
Z161B.PA,,PAR
07147P.TW,,
Z745B.PA,,PAR
27100602.VI,NOVN/RCB ZT,VIE
I02384.MI,,MIL
037166.TW,,
63003-OL.HK,SC#HSI  RP1601N,HKG
H089S.PA,,PAR
51MMZ.AS,VOW  99.25TL OPENZ,AMS
X13323.TI,BSKT/BNPP ARBITR 17,TLO
49MQZ.BR,,
R924C.AS,,AMS
HH53G.PA,PL/ING WT OPEN,PAR
MTG6B-250NDS.ST,,
11000743.AS,BASKET/RABO 17 ELN,AMS
Q703C.AS,,
G811Z.BR,,BRU
16Y8Z.BR,,
ITD23C1701A.BK,,SET
21WUZ.BR,,BRU
3734T.PA,BNP/UCB WT 16,PAR
G046Z.PA,,
A0DDXX.F,5.75 SANTAND JUNIOR,FRA
Q426S.PA,,PAR
9623T.PA,,PAR
QBESZB-A.A,,
X998B.NX,,
61LWZ.BR,,BRU
040116.TW,,
3N11Z.PA,ML/COBA 16 CT,PAR
Z741B.PA,,PAR
G846Z.BR,,BRU
H203S.PA,CAC40/SG P-WT 16,PAR
034785.TW,,
Q417S.NX,,
718412.TWO,,TWO
FTDBL.IS,,
4E63Z.PA,,
